url,label
http://secure-login-verify-bank.example-alert.com/update,1
http://account-alert.paypal.verify-user.co/login,1
http://free-prize-claim-now.ru/win,1
https://company-hr-portal.com/careers,0
https://www.github.com/openai,0
https://bank.example.com/security-guidance,0
http://otp-reset-secure-check.net/verify@user,1
http://signin-update-wallet.cn/recover,1
https://news.example.org/world,0
https://support.microsoft.com/security,0
http://verify-banking-login-alert.xyz/auth,1
https://docs.python.org/3/library,0
